match_id,season,team1,team2,venue,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,win_margin,toss_won_match,match_type,season_champion
143,2020,Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi Stadium,Mumbai Indians,bat,Kolkata Knight Riders,0,8,Sunil Narine,8 wickets,False,Chase,Punjab Kings
144,2020,Mumbai Indians,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Delhi Capitals,57,0,Axar Patel,57 runs,True,One-sided,Punjab Kings
145,2020,Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Mumbai Indians,0,1,Kieron Pollard,1 wickets,False,Chase,Punjab Kings
146,2020,Mumbai Indians,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Mumbai Indians,0,6,Kieron Pollard,6 wickets,False,Chase,Punjab Kings
147,2020,Mumbai Indians,Punjab Kings,M.A. Chidambaram Stadium,Punjab Kings,bat,Punjab Kings,2,0,Arshdeep Singh,2 runs,True,Close,Punjab Kings
148,2020,Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,37,0,MS Dhoni,37 runs,False,One-sided,Punjab Kings
149,2020,Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Chennai Super Kings,bat,Kolkata Knight Riders,0,1,Venkatesh Iyer,1 wickets,False,Chase,Punjab Kings
150,2020,Chennai Super Kings,Delhi Capitals,Arun Jaitley Stadium,Chennai Super Kings,bat,Delhi Capitals,0,2,David Warner,2 wickets,False,Chase,Punjab Kings
151,2020,Chennai Super Kings,Rajasthan Royals,M.A. Chidambaram Stadium,Rajasthan Royals,field,Chennai Super Kings,2,0,Deepak Chahar,2 runs,False,Close,Punjab Kings
152,2020,Chennai Super Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,35,0,Washington Sundar,35 runs,True,One-sided,Punjab Kings
153,2020,Chennai Super Kings,Punjab Kings,Eden Gardens,Chennai Super Kings,bat,Punjab Kings,0,6,Arshdeep Singh,6 wickets,False,Chase,Punjab Kings
154,2020,Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8,Glenn Maxwell,8 wickets,True,Chase,Punjab Kings
155,2020,Royal Challengers Bangalore,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals,0,9,Anrich Nortje,9 wickets,True,Chase,Punjab Kings
156,2020,Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals,69,0,Shimron Hetmyer,69 runs,True,One-sided,Punjab Kings
157,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,8,Dinesh Karthik,8 wickets,True,Chase,Punjab Kings
158,2020,Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Harshal Patel,9 wickets,True,Chase,Punjab Kings
159,2020,Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders,0,8,Shreyas Iyer,8 wickets,True,Chase,Punjab Kings
160,2020,Kolkata Knight Riders,Rajasthan Royals,Arun Jaitley Stadium,Kolkata Knight Riders,field,Rajasthan Royals,74,0,Sanju Samson,74 runs,False,One-sided,Punjab Kings
161,2020,Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders,1,0,Pat Cummins,1 runs,False,Close,Punjab Kings
162,2020,Kolkata Knight Riders,Punjab Kings,Eden Gardens,Kolkata Knight Riders,field,Punjab Kings,28,0,Mayank Agarwal,28 runs,False,One-sided,Punjab Kings
163,2020,Delhi Capitals,Rajasthan Royals,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Rajasthan Royals,81,0,Jos Buttler,81 runs,True,One-sided,Punjab Kings
164,2020,Delhi Capitals,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Delhi Capitals,0,2,Rishabh Pant,2 wickets,False,Chase,Punjab Kings
165,2020,Delhi Capitals,Punjab Kings,Wankhede Stadium,Delhi Capitals,field,Punjab Kings,8,0,Kagiso Rabada,8 runs,False,Close,Punjab Kings
166,2020,Rajasthan Royals,Sunrisers Hyderabad,M.A. Chidambaram Stadium,Sunrisers Hyderabad,field,Rajasthan Royals,2,0,Jos Buttler,2 runs,False,Close,Punjab Kings
167,2020,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,Punjab Kings,9,0,Shikhar Dhawan,9 runs,True,Close,Punjab Kings
168,2020,Sunrisers Hyderabad,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,bat,Sunrisers Hyderabad,0,3,Rashid Khan,3 wickets,False,Chase,Punjab Kings
169,2021,Mumbai Indians,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,0,1,Deepak Chahar,1 wickets,True,Chase,Chennai Super Kings
170,2021,Mumbai Indians,Royal Challengers Bangalore,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,22,0,Kieron Pollard,22 runs,True,One-sided,Chennai Super Kings
171,2021,Mumbai Indians,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,field,Mumbai Indians,30,0,Suryakumar Yadav,30 runs,False,One-sided,Chennai Super Kings
172,2021,Mumbai Indians,Delhi Capitals,Eden Gardens,Delhi Capitals,bat,Mumbai Indians,0,6,Kieron Pollard,6 wickets,False,Chase,Chennai Super Kings
173,2021,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,44,0,Yuzvendra Chahal,44 runs,True,One-sided,Chennai Super Kings
174,2021,Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Mumbai Indians,field,Sunrisers Hyderabad,17,0,Washington Sundar,17 runs,False,Close,Chennai Super Kings
175,2021,Mumbai Indians,Punjab Kings,Rajiv Gandhi Stadium,Mumbai Indians,bat,Mumbai Indians,57,0,Suryakumar Yadav,57 runs,True,One-sided,Chennai Super Kings
176,2021,Chennai Super Kings,Royal Challengers Bangalore,Eden Gardens,Chennai Super Kings,bat,Royal Challengers Bangalore,0,1,Harshal Patel,1 wickets,False,Chase,Chennai Super Kings
177,2021,Chennai Super Kings,Kolkata Knight Riders,M.A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings,6,0,Deepak Chahar,6 runs,True,Close,Chennai Super Kings
178,2021,Chennai Super Kings,Delhi Capitals,Sawai Mansingh Stadium,Chennai Super Kings,bat,Chennai Super Kings,33,0,Faf du Plessis,33 runs,True,One-sided,Chennai Super Kings
179,2021,Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Chennai Super Kings,0,5,Ravindra Jadeja,5 wickets,False,Chase,Chennai Super Kings
180,2021,Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,Chennai Super Kings,0,7,Faf du Plessis,7 wickets,False,Chase,Chennai Super Kings
181,2021,Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,0,9,MS Dhoni,9 wickets,True,Chase,Chennai Super Kings
182,2021,Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,Royal Challengers Bangalore,36,0,Mohammed Siraj,36 runs,False,One-sided,Chennai Super Kings
183,2021,Royal Challengers Bangalore,Delhi Capitals,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Mohammed Siraj,9 wickets,True,Chase,Chennai Super Kings
184,2021,Royal Challengers Bangalore,Rajasthan Royals,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,32,0,Mohammed Siraj,32 runs,True,One-sided,Chennai Super Kings
185,2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,22,0,Kane Williamson,22 runs,True,One-sided,Chennai Super Kings
186,2021,Royal Challengers Bangalore,Punjab Kings,Arun Jaitley Stadium,Punjab Kings,bat,Royal Challengers Bangalore,0,9,Glenn Maxwell,9 wickets,False,Chase,Chennai Super Kings
187,2021,Kolkata Knight Riders,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,field,Delhi Capitals,0,9,Anrich Nortje,9 wickets,True,Chase,Chennai Super Kings
188,2021,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Rajasthan Royals,81,0,Trent Boult,81 runs,False,One-sided,Chennai Super Kings
189,2021,Kolkata Knight Riders,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6,Rashid Khan,6 wickets,True,Chase,Chennai Super Kings
190,2021,Kolkata Knight Riders,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,Punjab Kings,44,0,Kagiso Rabada,44 runs,True,One-sided,Chennai Super Kings
191,2021,Delhi Capitals,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals,25,0,Jos Buttler,25 runs,True,One-sided,Chennai Super Kings
192,2021,Delhi Capitals,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,67,0,Washington Sundar,67 runs,True,One-sided,Chennai Super Kings
193,2021,Delhi Capitals,Punjab Kings,M.A. Chidambaram Stadium,Delhi Capitals,field,Punjab Kings,25,0,Arshdeep Singh,25 runs,False,One-sided,Chennai Super Kings
194,2021,Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Rajasthan Royals,bat,Rajasthan Royals,58,0,Jos Buttler,58 runs,True,One-sided,Chennai Super Kings
195,2021,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,27,0,Jos Buttler,27 runs,True,One-sided,Chennai Super Kings
196,2021,Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Sunrisers Hyderabad,0,1,Rashid Khan,1 wickets,False,Chase,Chennai Super Kings
197,2022,Mumbai Indians,Chennai Super Kings,M.A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings,44,0,MS Dhoni,44 runs,True,One-sided,Delhi Capitals
198,2022,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,Mumbai Indians,0,7,Kieron Pollard,7 wickets,False,Chase,Delhi Capitals
199,2022,Mumbai Indians,Kolkata Knight Riders,Sawai Mansingh Stadium,Mumbai Indians,field,Kolkata Knight Riders,21,0,Venkatesh Iyer,21 runs,False,One-sided,Delhi Capitals
200,2022,Mumbai Indians,Delhi Capitals,Wankhede Stadium,Mumbai Indians,field,Delhi Capitals,46,0,Prithvi Shaw,46 runs,False,One-sided,Delhi Capitals
201,2022,Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Mumbai Indians,89,0,Rohit Sharma,89 runs,False,One-sided,Delhi Capitals
202,2022,Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,field,Mumbai Indians,84,0,Hardik Pandya,84 runs,False,One-sided,Delhi Capitals
203,2022,Mumbai Indians,Punjab Kings,M.A. Chidambaram Stadium,Punjab Kings,bat,Mumbai Indians,0,3,Rohit Sharma,3 wickets,False,Chase,Delhi Capitals
204,2022,Chennai Super Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,9,Mohammed Siraj,9 wickets,True,Chase,Delhi Capitals
205,2022,Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders,85,0,Venkatesh Iyer,85 runs,True,One-sided,Delhi Capitals
206,2022,Chennai Super Kings,Delhi Capitals,Eden Gardens,Chennai Super Kings,field,Delhi Capitals,38,0,Anrich Nortje,38 runs,False,One-sided,Delhi Capitals
207,2022,Chennai Super Kings,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Rajasthan Royals,0,2,Yuzvendra Chahal,2 wickets,True,Chase,Delhi Capitals
208,2022,Chennai Super Kings,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Chennai Super Kings,38,0,Deepak Chahar,38 runs,False,One-sided,Delhi Capitals
209,2022,Chennai Super Kings,Punjab Kings,M.A. Chidambaram Stadium,Chennai Super Kings,bat,Punjab Kings,0,2,Kagiso Rabada,2 wickets,False,Chase,Delhi Capitals
210,2022,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Royal Challengers Bangalore,field,Kolkata Knight Riders,80,0,Pat Cummins,80 runs,False,One-sided,Delhi Capitals
211,2022,Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,Delhi Capitals,bat,Royal Challengers Bangalore,0,5,Mohammed Siraj,5 wickets,False,Chase,Delhi Capitals
212,2022,Royal Challengers Bangalore,Rajasthan Royals,Wankhede Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,33,0,Glenn Maxwell,33 runs,True,One-sided,Delhi Capitals
213,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,4,Nicholas Pooran,4 wickets,True,Chase,Delhi Capitals
214,2022,Royal Challengers Bangalore,Punjab Kings,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore,0,5,Mohammed Siraj,5 wickets,True,Chase,Delhi Capitals
215,2022,Kolkata Knight Riders,Delhi Capitals,Rajiv Gandhi Stadium,Delhi Capitals,bat,Delhi Capitals,15,0,Prithvi Shaw,15 runs,True,Close,Delhi Capitals
216,2022,Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Stadium,Rajasthan Royals,bat,Kolkata Knight Riders,0,1,Shreyas Iyer,1 wickets,False,Chase,Delhi Capitals
217,2022,Kolkata Knight Riders,Sunrisers Hyderabad,M.A. Chidambaram Stadium,Kolkata Knight Riders,field,Sunrisers Hyderabad,5,0,Bhuvneshwar Kumar,5 runs,False,Close,Delhi Capitals
218,2022,Kolkata Knight Riders,Punjab Kings,M.A. Chidambaram Stadium,Punjab Kings,field,Punjab Kings,0,2,Shikhar Dhawan,2 wickets,True,Chase,Delhi Capitals
219,2022,Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Delhi Capitals,bat,Delhi Capitals,86,0,Axar Patel,86 runs,True,One-sided,Delhi Capitals
220,2022,Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals,31,0,Anrich Nortje,31 runs,False,One-sided,Delhi Capitals
221,2022,Delhi Capitals,Punjab Kings,Rajiv Gandhi Stadium,Delhi Capitals,bat,Punjab Kings,0,2,Kagiso Rabada,2 wickets,False,Chase,Delhi Capitals
222,2022,Rajasthan Royals,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7,Washington Sundar,7 wickets,True,Chase,Delhi Capitals
223,2022,Rajasthan Royals,Punjab Kings,Eden Gardens,Rajasthan Royals,bat,Rajasthan Royals,21,0,Jos Buttler,21 runs,True,One-sided,Delhi Capitals
224,2022,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi Stadium,Punjab Kings,field,Sunrisers Hyderabad,25,0,Nicholas Pooran,25 runs,False,One-sided,Delhi Capitals
